[1434825000] LOG ROTATION: DAILY
[1434825000] LOG VERSION: 2.0
[1434825000] CURRENT HOST STATE: 103.255.103.2;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.38 ms
[1434825000] CURRENT HOST STATE: Limetech-Server;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1434825000] CURRENT HOST STATE: cisco2900.in;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.80 ms
[1434825000] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.63 ms
[1434825000] CURRENT HOST STATE: ns3.tld6.net;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.22 ms
[1434825000] CURRENT HOST STATE: wns1.tld6.net;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.18 ms
[1434880477] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.8% (267444 kB) free!
[1434882038] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;HARD;3;Memory usage: total:3583.64 MB - used: 2840.85 MB (79%) - free: 742.80 MB (21%)
[1434883238] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2892.55 MB (81%) - free: 691.09 MB (19%)
[1434883358] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;2;Memory usage: total:3583.64 MB - used: 2907.90 MB (81%) - free: 675.74 MB (19%)
[1434883478] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;HARD;3;Memory usage: total:3583.64 MB - used: 2966.42 MB (83%) - free: 617.23 MB (17%)
[1434883723] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434883783] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;2;CRITICAL - Socket timeout after 10 seconds
[1434883805] Auto-save of retention data completed successfully.
[1434883843] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;3;CRITICAL - Socket timeout after 10 seconds
[1434883898] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;4;SMTP OK - 5.042 sec. response time
[1434884077] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.9% (114296 kB) free!
[1434884077] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.9% (114296 kB) free!
[1434884077] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.9% (114296 kB) free!
[1434884077] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.9% (114296 kB) free!
[1434884077] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.9% (114296 kB) free!
[1434884203] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434884263] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;2;CRITICAL - Socket timeout after 10 seconds
[1434884323] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;3;CRITICAL - Socket timeout after 10 seconds
[1434884383] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;HARD;4;CRITICAL - Socket timeout after 10 seconds
[1434884383] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434884383] SERVICE NOTIFICATION: piyush;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434884383] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434884383] SERVICE NOTIFICATION: mali;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434884383] SERVICE NOTIFICATION: msharma;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434884680] SERVICE ALERT: ns3.tld6.net;SMTP;OK;HARD;4;SMTP OK - 6.694 sec. response time
[1434884680] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.694 sec. response time
[1434884680] SERVICE NOTIFICATION: piyush;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.694 sec. response time
[1434884680] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.694 sec. response time
[1434884680] SERVICE NOTIFICATION: mali;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.694 sec. response time
[1434884680] SERVICE NOTIFICATION: msharma;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.694 sec. response time
[1434885278] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;HARD;3;Memory usage: total:3583.64 MB - used: 2739.02 MB (76%) - free: 844.62 MB (24%)
[1434885283] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434885341] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;2;SMTP OK - 8.000 sec. response time
[1434885878] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2940.19 MB (82%) - free: 643.45 MB (18%)
[1434885998] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;2;Memory usage: total:3583.64 MB - used: 2931.47 MB (82%) - free: 652.18 MB (18%)
[1434886118] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;HARD;3;Memory usage: total:3583.64 MB - used: 2881.57 MB (80%) - free: 702.07 MB (20%)
[1434887318] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;HARD;3;Memory usage: total:3583.64 MB - used: 2776.79 MB (77%) - free: 806.86 MB (23%)
[1434887405] Auto-save of retention data completed successfully.
[1434887677] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.8% (269764 kB) free!
[1434887677] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.8% (269764 kB) free!
[1434887677] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.8% (269764 kB) free!
[1434887677] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.8% (269764 kB) free!
[1434887677] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 6.8% (269764 kB) free!
[1434888878] SERVICE ALERT: ns3.tld6.net;RAM;OK;HARD;3;OK - 29.8% (1182092 kB) free.
[1434888878] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;OK;notify-service-by-email;OK - 29.8% (1182092 kB) free.
[1434888878] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;OK;notify-service-by-email;OK - 29.8% (1182092 kB) free.
[1434888878] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;OK;notify-service-by-email;OK - 29.8% (1182092 kB) free.
[1434888878] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;OK;notify-service-by-email;OK - 29.8% (1182092 kB) free.
[1434888878] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;OK;notify-service-by-email;OK - 29.8% (1182092 kB) free.
[1434889118] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2881.99 MB (80%) - free: 701.66 MB (20%)
[1434889238] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;SOFT;2;Memory usage: total:3583.64 MB - used: 2836.84 MB (79%) - free: 746.81 MB (21%)
[1434889838] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2881.76 MB (80%) - free: 701.88 MB (20%)
[1434889958] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;2;Memory usage: total:3583.64 MB - used: 2896.05 MB (81%) - free: 687.59 MB (19%)
[1434890078] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;SOFT;3;Memory usage: total:3583.64 MB - used: 2859.94 MB (80%) - free: 723.71 MB (20%)
[1434890677] SERVICE ALERT: ns3.tld6.net;RAM;WARNING;SOFT;1;WARNING - 18.9% (750360 kB) free!
[1434890797] SERVICE ALERT: ns3.tld6.net;RAM;OK;SOFT;2;OK - 21.1% (833932 kB) free.
[1434891005] Auto-save of retention data completed successfully.
[1434891278] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2935.55 MB (82%) - free: 648.10 MB (18%)
[1434891397] SERVICE ALERT: ns3.tld6.net;RAM;WARNING;SOFT;1;WARNING - 13.3% (526372 kB) free!
[1434891398] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;2;Memory usage: total:3583.64 MB - used: 2936.11 MB (82%) - free: 647.53 MB (18%)
[1434891517] SERVICE ALERT: ns3.tld6.net;RAM;WARNING;SOFT;2;WARNING - 15.9% (630368 kB) free!
[1434891518] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;HARD;3;Memory usage: total:3583.64 MB - used: 2952.37 MB (82%) - free: 631.27 MB (18%)
[1434891637] SERVICE ALERT: ns3.tld6.net;RAM;WARNING;HARD;3;WARNING - 15.3% (607208 kB) free!
[1434891637] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 15.3% (607208 kB) free!
[1434891637] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 15.3% (607208 kB) free!
[1434891637] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 15.3% (607208 kB) free!
[1434891637] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 15.3% (607208 kB) free!
[1434891637] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;WARNING;notify-service-by-email;WARNING - 15.3% (607208 kB) free!
[1434894518] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;HARD;3;Memory usage: total:3583.64 MB - used: 2833.44 MB (79%) - free: 750.20 MB (21%)
[1434894605] Auto-save of retention data completed successfully.
[1434895237] SERVICE ALERT: ns3.tld6.net;RAM;CRITICAL;HARD;3;CRITICAL - 8.2% (325132 kB) free!
[1434895237] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.2% (325132 kB) free!
[1434895237] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.2% (325132 kB) free!
[1434895237] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.2% (325132 kB) free!
[1434895237] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.2% (325132 kB) free!
[1434895237] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 8.2% (325132 kB) free!
[1434895718] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2891.06 MB (81%) - free: 692.58 MB (19%)
[1434895838] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;2;Memory usage: total:3583.64 MB - used: 2908.11 MB (81%) - free: 675.53 MB (19%)
[1434895958] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;HARD;3;Memory usage: total:3583.64 MB - used: 2909.41 MB (81%) - free: 674.23 MB (19%)
[1434896557] SERVICE ALERT: wns1.tld6.net;Memory Usage;OK;HARD;3;Memory usage: total:3583.64 MB - used: 2843.82 MB (79%) - free: 739.82 MB (21%)
[1434897157] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;1;Memory usage: total:3583.64 MB - used: 2879.67 MB (80%) - free: 703.98 MB (20%)
[1434897277] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;SOFT;2;Memory usage: total:3583.64 MB - used: 2916.32 MB (81%) - free: 667.33 MB (19%)
[1434897397] SERVICE ALERT: wns1.tld6.net;Memory Usage;WARNING;HARD;3;Memory usage: total:3583.64 MB - used: 2920.94 MB (82%) - free: 662.71 MB (18%)
[1434898205] Auto-save of retention data completed successfully.
[1434898837] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.5% (19040 kB) free!
[1434898837] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.5% (19040 kB) free!
[1434898837] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.5% (19040 kB) free!
[1434898837] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.5% (19040 kB) free!
[1434898837] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.5% (19040 kB) free!
[1434901242] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434901302] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;2;SMTP OK - 9.758 sec. response time
[1434901602] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434901662] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;2;CRITICAL - Socket timeout after 10 seconds
[1434901720] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;3;SMTP OK - 7.796 sec. response time
[1434901805] Auto-save of retention data completed successfully.
[1434902022] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434902080] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;2;SMTP OK - 8.308 sec. response time
[1434902382] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434902437] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.2% (87828 kB) free!
[1434902437] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.2% (87828 kB) free!
[1434902437] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.2% (87828 kB) free!
[1434902437] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.2% (87828 kB) free!
[1434902437] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 2.2% (87828 kB) free!
[1434902442] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;2;CRITICAL - Socket timeout after 10 seconds
[1434902499] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;3;SMTP OK - 7.379 sec. response time
[1434902802] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434902862] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;2;CRITICAL - Socket timeout after 10 seconds
[1434902922] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;3;CRITICAL - Socket timeout after 10 seconds
[1434902982] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;HARD;4;CRITICAL - Socket timeout after 10 seconds
[1434902982] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434902982] SERVICE NOTIFICATION: piyush;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434902982] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434902982] SERVICE NOTIFICATION: mali;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434902982] SERVICE NOTIFICATION: msharma;ns3.tld6.net;SMTP;CRITICAL;notify-service-by-email;CRITICAL - Socket timeout after 10 seconds
[1434903579] SERVICE ALERT: ns3.tld6.net;SMTP;OK;HARD;4;SMTP OK - 6.950 sec. response time
[1434903579] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.950 sec. response time
[1434903579] SERVICE NOTIFICATION: piyush;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.950 sec. response time
[1434903579] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.950 sec. response time
[1434903579] SERVICE NOTIFICATION: mali;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.950 sec. response time
[1434903579] SERVICE NOTIFICATION: msharma;ns3.tld6.net;SMTP;OK;notify-service-by-email;SMTP OK - 6.950 sec. response time
[1434904182] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434904241] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;2;SMTP OK - 8.797 sec. response time
[1434904542] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434904602] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;2;CRITICAL - Socket timeout after 10 seconds
[1434904659] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;3;SMTP OK - 6.942 sec. response time
[1434905405] Auto-save of retention data completed successfully.
[1434906037] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 4.0% (157684 kB) free!
[1434906037] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 4.0% (157684 kB) free!
[1434906037] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 4.0% (157684 kB) free!
[1434906037] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 4.0% (157684 kB) free!
[1434906037] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 4.0% (157684 kB) free!
[1434906762] SERVICE ALERT: ns3.tld6.net;SMTP;CRITICAL;SOFT;1;CRITICAL - Socket timeout after 10 seconds
[1434906820] SERVICE ALERT: ns3.tld6.net;SMTP;OK;SOFT;2;SMTP OK - 8.209 sec. response time
[1434908797] SERVICE FLAPPING ALERT: wns1.tld6.net;Memory Usage;STOPPED; Service appears to have stopped flapping (3.8% change < 5.0% threshold)
[1434908797] SERVICE NOTIFICATION: nagiosadmin;wns1.tld6.net;Memory Usage;WARNING;notify-service-by-email;Memory usage: total:3583.64 MB - used: 2901.29 MB (81%) - free: 682.35 MB (19%)
[1434908797] SERVICE NOTIFICATION: piyush;wns1.tld6.net;Memory Usage;WARNING;notify-service-by-email;Memory usage: total:3583.64 MB - used: 2901.29 MB (81%) - free: 682.35 MB (19%)
[1434908797] SERVICE NOTIFICATION: bhupesh;wns1.tld6.net;Memory Usage;WARNING;notify-service-by-email;Memory usage: total:3583.64 MB - used: 2901.29 MB (81%) - free: 682.35 MB (19%)
[1434908797] SERVICE NOTIFICATION: mali;wns1.tld6.net;Memory Usage;WARNING;notify-service-by-email;Memory usage: total:3583.64 MB - used: 2901.29 MB (81%) - free: 682.35 MB (19%)
[1434908797] SERVICE NOTIFICATION: msharma;wns1.tld6.net;Memory Usage;WARNING;notify-service-by-email;Memory usage: total:3583.64 MB - used: 2901.29 MB (81%) - free: 682.35 MB (19%)
[1434909005] Auto-save of retention data completed successfully.
[1434909637] SERVICE NOTIFICATION: nagiosadmin;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.6% (25192 kB) free!
[1434909637] SERVICE NOTIFICATION: piyush;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.6% (25192 kB) free!
[1434909637] SERVICE NOTIFICATION: bhupesh;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.6% (25192 kB) free!
[1434909637] SERVICE NOTIFICATION: mali;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.6% (25192 kB) free!
[1434909637] SERVICE NOTIFICATION: msharma;ns3.tld6.net;RAM;CRITICAL;notify-service-by-email;CRITICAL - 0.6% (25192 kB) free!
